Feature,VIF Factor
essentiality,2.25
mutation,1.43
expression,11.58
e0,2.52
e1,3.45
e2,6.26
e3,2.14
e4,1.56
e5,2.99
e6,1.94
e7,2.48
e8,2.51
e9,1.98
e10,2.31
e11,1.79
e12,1.78
e13,2.41
e14,2.0
e15,1.6
e16,2.62
e17,1.9
e18,2.2
e19,2.69
e20,2.25
e21,2.23
e22,2.09
e23,2.61
e24,2.45
e25,3.61
e26,1.8
e27,3.38
e28,2.39
e29,1.66
e30,1.91
e31,2.17
