Feature,VIF Factor
essentiality,2.27
mutation,1.21
expression,9.95
e0,2.61
e1,2.17
e2,3.19
e3,1.41
e4,1.54
e5,2.74
e6,1.41
e7,1.44
e8,3.2
e9,1.6
e10,1.4
e11,1.63
e12,1.2
e13,1.6
e14,1.41
e15,1.47
e16,1.64
e17,1.45
e18,1.35
e19,1.45
e20,1.31
e21,1.5
e22,1.86
e23,1.76
e24,1.93
e25,2.69
e26,1.63
e27,2.39
e28,1.54
e29,1.7
e30,1.32
e31,2.19
