Feature,VIF Factor
essentiality,2.05
mutation,1.44
expression,7.46
e0,2.67
e1,2.26
e2,3.62
e3,1.94
e4,1.66
e5,3.69
e6,1.59
e7,2.33
e8,3.72
e9,2.18
e10,1.66
e11,1.74
e12,1.63
e13,2.31
e14,1.45
e15,1.42
e16,2.11
e17,1.78
e18,1.61
e19,1.87
e20,1.76
e21,1.72
e22,2.29
e23,2.22
e24,2.04
e25,2.74
e26,1.41
e27,3.16
e28,1.75
e29,1.9
e30,1.62
e31,2.25
