Feature,VIF Factor
essentiality,1.98
mutation,1.52
expression,8.76
e0,1.79
e1,2.03
e2,3.83
e3,1.24
e4,1.35
e5,2.63
e6,1.56
e7,1.49
e8,2.59
e9,1.63
e10,1.59
e11,1.79
e12,1.59
e13,1.68
e14,1.87
e15,1.37
e16,2.15
e17,1.71
e18,1.34
e19,1.44
e20,1.59
e21,1.47
e22,2.38
e23,2.26
e24,1.77
e25,2.6
e26,1.4
e27,2.27
e28,1.96
e29,1.49
e30,1.82
e31,2.0
