Feature,VIF Factor
essentiality,1.67
mutation,1.51
expression,8.88
e0,1.77
e1,2.68
e2,3.94
e3,1.43
e4,1.39
e5,3.23
e6,1.5
e7,1.79
e8,2.47
e9,1.44
e10,1.38
e11,1.67
e12,1.27
e13,1.76
e14,1.65
e15,1.36
e16,2.56
e17,1.56
e18,1.66
e19,1.4
e20,1.44
e21,1.27
e22,2.97
e23,2.39
e24,1.63
e25,3.17
e26,1.77
e27,2.39
e28,2.26
e29,1.31
e30,1.73
e31,1.84
