Feature,VIF Factor
essentiality,1.9
mutation,1.07
expression,7.18
e0,1.52
e1,2.01
e2,2.52
e3,1.2
e4,1.14
e5,2.37
e6,1.16
e7,1.43
e8,2.34
e9,1.29
e10,1.29
e11,1.21
e12,1.16
e13,1.37
e14,1.25
e15,1.21
e16,1.35
e17,1.3
e18,1.22
e19,1.33
e20,1.32
e21,1.18
e22,1.56
e23,1.84
e24,1.44
e25,2.59
e26,1.25
e27,1.72
e28,1.34
e29,1.22
e30,1.27
e31,1.42
