Feature,VIF Factor
essentiality,2.76
mutation,3.16
expression,6.64
e0,3.93
e1,4.03
e2,6.47
e3,2.7
e4,3.79
e5,4.72
e6,3.79
e7,2.46
e8,2.92
e9,2.45
e10,2.23
e11,2.88
e12,3.57
e13,3.68
e14,4.84
e15,2.5
e16,2.36
e17,3.4
e18,2.11
e19,2.07
e20,2.93
e21,4.23
e22,4.52
e23,3.63
e24,2.96
e25,5.12
e26,2.82
e27,3.61
e28,5.68
e29,2.6
e30,3.79
e31,3.6
