,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,label
e19,-0.0349906978478213,0.052930557485123465,0.08282128479496956,0.07543894339924567,0.02710087884118765,-0.005722649346076163,-0.0019587836151318695,0.010421530011861408,-0.05397000805589045,0.10481080458784495,-0.04749137265600739,-0.1341038678213531,-0.03059221820412532,0.04109618218318148,0.07586289981469863,-0.03272256722197149,-0.08103088551729058,0.1369716341674566,-0.003625600085246284,0.0024239157644779193,0.011849823095756046,-0.08899895372689172,1.0,0.014461533302063864,-0.045194945508399226,-0.07170410361766281,-0.04186847224387243,0.08368206676365417,0.1354500412158937,0.05826639328776252,0.036514595232968836,0.10185868734897072,-0.044802723550181354,-0.031073084826746568,-0.0010919155635592745,-0.024630419277744342
e20,-0.057758992931938244,-0.0031909927444631,0.11765657385573558,0.058472932939779426,0.10420286658585827,0.10042135389390772,-0.04632812620331179,0.019253201048420703,0.015704344462570376,-0.006987967037233136,-0.0641515600300094,-0.06769683881003843,0.024807688710160453,-0.16483965316452692,-0.04982112215467229,0.04932241105931924,-0.021234881720099283,0.11984497559150942,0.0897151123966046,-0.09585641881339513,0.08147002989339774,-0.01719033852081865,0.014461533302063864,1.0,-0.04807136589777055,-0.10037866393002834,0.03537877225560618,0.055861729546736516,0.03974130070687086,0.024899701714664536,-0.07175611547280336,0.003407035484354111,0.026308157716036187,-0.08747805341342513,0.03427818045224217,0.09298885986510726
e21,-0.005830274932320702,-0.01539215468952629,-0.048829650817880876,-0.16428095012152932,-0.12901391738063434,0.0038783888757717034,-0.0008717794505029791,0.058842427175862966,0.11697141222251305,0.057928992033344576,0.13167288360893664,0.0853956879945166,-0.015030151133659995,0.04487963018354878,0.02787746795487395,0.04864148784991802,0.061866032736753375,-0.10748006769410845,-0.08112858499670991,-0.025235223707151436,0.11453058485849223,0.0259298061459996,-0.045194945508399226,-0.04807136589777055,1.0,0.15677262073235243,0.012572533993726888,-0.07843402718078735,-0.0736630189007425,-0.04745627738626612,0.0750614370725024,0.028100053495291814,-0.014943535246108699,0.0930709525481137,0.04050529376400311,-0.12257051133786129
e22,-0.12716014090456346,0.05870222095553497,0.13546784387206934,-0.04519467298503864,-0.13596379345795173,0.05782163785828942,0.10947312157826901,0.08850464465895203,0.20574240613056788,-0.10434292000183926,0.2378592411837501,0.05038365482332928,-0.027463907720895873,-0.06766522588804524,-0.1312763973805962,0.0370501797509338,0.017764231818563937,-0.0533089013622168,-0.011388444153653142,-0.0065392799927445925,-0.02238263316377763,0.09532310114809019,-0.07170410361766281,-0.10037866393002834,0.15677262073235243,1.0,0.03393094735935024,0.1120474089380678,-0.14303850492626224,0.1264976357864673,0.10442154175486212,-0.01586604503589127,-0.127167959611932,-0.05425511368421358,-0.02618285628721775,0.20087284541172695
e23,0.07087425522864693,-0.0028758498976895405,-0.04899570122091354,-0.047840241351158386,-0.025396138526286853,0.10393602582443488,0.10312585964138496,0.04272765878689866,0.1188186409101836,-0.05292897096974255,0.09034187479117901,0.0038072589070897575,0.042649607936327015,-0.05966102151464267,-0.0775681526148149,0.027280041720370175,0.08518467953319966,0.04960697164331536,0.027077721149349292,-0.07969969398755777,0.0829554492204414,0.04540410481471614,-0.04186847224387243,0.03537877225560618,0.012572533993726888,0.03393094735935024,1.0,-0.018743619037301103,-0.09514084760495202,-0.02170929145675047,-0.14769874393743773,-0.01848681165859431,-0.053539009941916064,-0.018337178941873693,0.15656127219167962,-0.05802813648843577
e24,0.015094543118609489,0.0005324223175529044,-0.03581118568389921,0.051336961264997316,0.04844174203754337,-0.05176049334862322,0.09244258500010093,0.051459416188758836,0.06253193400768607,-0.07531104645969738,-0.0017995434110125788,-0.014527283758054132,-0.01243178466591708,-0.014137380314327907,-0.10395936856760894,0.0024763140796956783,-0.01097927749437259,0.035547847921689246,0.0038383466686373498,-0.08008273684284792,0.054558504920335295,0.17235375713364107,0.08368206676365417,0.055861729546736516,-0.07843402718078735,0.1120474089380678,-0.018743619037301103,1.0,-0.06362389332943988,0.16146895650738094,-0.053526214270513725,-0.05043250030520352,0.028041443320620786,-0.04773457250045854,0.047262188160473076,0.07081610288221574
e25,0.1650059128851463,-0.016825830820802728,-0.05625842231855148,0.15683788279828764,0.01829310127259659,0.12362103542874621,-0.020787479789491033,-0.033354427574213065,-0.023061133460584582,0.01584417695869708,-0.12996663323650992,-0.21789500920998067,0.15469629504507082,-0.025523299040828777,0.03617582012042091,-0.03259192784441786,-0.06591387158557799,0.06079589506329346,0.004478168361299845,-0.08789992056976502,-0.003498892528454871,-0.03949098672259432,0.1354500412158937,0.03974130070687086,-0.0736630189007425,-0.14303850492626224,-0.09514084760495202,-0.06362389332943988,1.0,-0.031017988885071388,-0.1479368913145299,0.007772289244532714,0.0026415246344364367,0.0887905301640157,0.11470979547725793,-0.06762459272734173
e26,0.038185048605388724,0.06588725919358611,-0.016249302395979496,-0.09116615272028702,0.11330977126162489,-0.022828052360504756,0.12159057709128732,-0.013943583046351665,0.0893042815419459,-0.006614143507683604,0.062298813155102606,0.06433961321131261,-0.09378770005943357,-0.023946877706620788,-0.06809509040246961,0.021868239973233054,-0.12336016484673262,0.08079566544092681,-0.01621721874994164,0.0027872854469765673,-0.06918551007702155,0.07850010462487392,0.05826639328776252,0.024899701714664536,-0.04745627738626612,0.1264976357864673,-0.02170929145675047,0.16146895650738094,-0.031017988885071388,1.0,0.008295487052785235,-0.029263451399319403,0.061417584827245714,0.00199653677162704,-0.01007439476742919,0.07658868625181528
e27,-0.05356500245875131,-0.00864099266987154,-0.05840494066525728,-0.042186242117665466,-0.11476608170552344,0.02443863346704365,-0.10380445808799194,-0.04666070931636786,0.12718948025436097,0.01688044013927754,-0.03168962363178716,-0.07339338159440482,0.02151060313440016,0.12909427099298443,-0.02793969094078104,-0.07482530559854003,0.0055336209092701535,-0.009808819899981707,-0.005844977205400923,0.0844279436053145,0.042260814767774595,-0.049961525939157925,0.036514595232968836,-0.07175611547280336,0.0750614370725024,0.10442154175486212,-0.14769874393743773,-0.053526214270513725,-0.1479368913145299,0.008295487052785235,1.0,0.011789214837056599,-0.008819173901361083,0.09369764371247843,-0.021262761090174498,-0.009169084549740386
e28,0.0140878786241284,0.039431680273845124,-0.0033387277143009444,-0.030561412611373927,-0.01815253466603,-0.042230844852003756,-0.03053014428163719,-0.09308002067649855,0.03452892860617271,-0.05573153988234189,-0.0639736203441442,-0.1923409365202332,0.05782918625452124,0.06814351542970881,0.04329470025879503,0.009829015564142791,-0.0024481045531997998,0.06118756553414668,0.029862191189831494,0.06392698646999925,-0.025571357703676485,-0.04721549267362455,0.10185868734897072,0.003407035484354111,0.028100053495291814,-0.01586604503589127,-0.01848681165859431,-0.05043250030520352,0.007772289244532714,-0.029263451399319403,0.011789214837056599,1.0,0.022150851568934322,0.05165425771014803,-0.033709989084390705,0.025384530179247113
e29,-0.017526850109403486,-0.04584469843727137,0.013289368702700081,-0.0445608457821977,0.1471867840879593,-0.05261942906552691,-0.03752842689382717,-0.06149279608275407,-0.008262011191457664,-0.017323053246267397,-0.12171268758364856,-0.048643720863727494,-0.020180565380100428,0.008874672083568718,0.07497033993191224,0.03920462774175503,-0.060564274722944206,0.05424653577575439,-0.04914454311478195,-0.07177283710182304,0.012574351130285683,-0.0038942211567841675,-0.044802723550181354,0.026308157716036187,-0.014943535246108699,-0.127167959611932,-0.053539009941916064,0.028041443320620786,0.0026415246344364367,0.061417584827245714,-0.008819173901361083,0.022150851568934322,1.0,0.0025105143555265164,-0.039519062980260714,0.08392664583847008
e30,-0.06816743966475608,-0.1698782177379759,-0.024656760780921678,-0.0407556787828961,-0.03584835679215352,0.10152276431368301,-0.09649784310897441,-0.014530073102451505,0.02514744286629262,0.02621095610483325,-0.027236850088517797,-0.0001850763098229678,-0.01679168587660855,0.14438914113285595,0.0773571965563021,-0.005847971251461727,0.03531146375195597,-0.03821389923372252,0.039475612612418096,0.08046437683920304,-0.022843351361505337,-0.05160891785077687,-0.031073084826746568,-0.08747805341342513,0.0930709525481137,-0.05425511368421358,-0.018337178941873693,-0.04773457250045854,0.0887905301640157,0.00199653677162704,0.09369764371247843,0.05165425771014803,0.0025105143555265164,1.0,0.005375190896703748,-0.10133575945898121
e31,-0.008375938884011228,-0.07841460746890434,0.07331317326552135,-0.07012582998606243,0.0038768743389356528,0.05157984791679922,-0.015803123990430473,0.07848025384665114,-0.019642470433455017,0.06284873558880023,0.04666525701349255,0.06341459986912298,-0.05998907718262328,-0.05150813819176167,0.04502577387193487,0.06918643429635588,0.07031836983462177,-0.03903552237442214,0.0011939411195013641,0.02392266527144255,0.062336597710043955,-0.03483166105444262,-0.0010919155635592745,0.03427818045224217,0.04050529376400311,-0.02618285628721775,0.15656127219167962,0.047262188160473076,0.11470979547725793,-0.01007439476742919,-0.021262761090174498,-0.033709989084390705,-0.039519062980260714,0.005375190896703748,1.0,-0.09047654673545866
label,-0.050553579200666686,0.21747631630239161,0.2632110535042545,0.059066601825657934,0.12144636696164293,-0.2277040704571895,0.10522539646954776,-0.04059496392965445,0.08722647190248863,-0.20710644406943945,-0.11392340544442507,-0.09713508447750659,0.08141482802850764,-0.013450288500994147,-0.015710975910051217,-0.08307010316833915,-0.16227362618615093,0.14641123834876502,-0.03179321046603665,-0.06480530249526639,-0.0624616754235883,0.12759908828190156,-0.024630419277744342,0.09298885986510726,-0.12257051133786129,0.20087284541172695,-0.05802813648843577,0.07081610288221574,-0.06762459272734173,0.07658868625181528,-0.009169084549740386,0.025384530179247113,0.08392664583847008,-0.10133575945898121,-0.09047654673545866,1.0
