,essentiality,mutation,expression,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
e7,-0.05722304051307168,-0.14635219900666557,-0.1742650822399287,-0.14002511160714287,-0.16135960393772894,0.1822583991529304,0.05828361092032967,0.05074619391025641,0.15370199461996337,0.04870614411630036,1.0,0.14927204956501833,-0.2519896119505495,0.02741851247710623,-0.01408754006410256,0.1273856026785714,0.2860641311813187,-0.3174400469322344,-0.03349466288919413,-0.025081201350732604,0.18487437042124544,-0.18919735863095238,-0.16028037717490845,-0.02931046817765568,0.1232196514423077,0.17199769631410255,-0.16054007841117218,0.012370507097069591,-0.18261289491758242,0.05316685267857143,-0.10696042239010989,-0.07126044528388278,-0.07065054086538461,0.2061648637820513,-0.1363424336080586
e8,-0.0516877938784027,-0.2643147809098743,0.05298554342077371,0.10213627518315017,-0.3933278960622711,0.35342190361721615,0.07459649725274725,0.22927040407509158,0.20786973443223444,0.10473006810897435,0.14927204956501833,1.0,-0.09011203640109891,0.0195147951007326,-0.10782466231684983,0.11716210222069597,0.3810525412087912,-0.4380072401556777,0.164797604739011,-0.03688687614468864,0.16789792239010987,0.009878663003663,-0.20637770432692307,-0.19781829498626374,0.11121222527472527,0.12865906879578753,-0.08660463885073261,0.17461295215201467,-0.240265138507326,-0.04637992216117216,-0.039833018543956045,-0.34892649668040293,-0.0017438616071428562,0.27454319768772895,-0.01299579326923077
e9,0.052401181637590555,0.12692578155416412,0.2456360479393057,0.13968993246336997,0.17569861778846155,-0.06008148752289377,-0.060278230883699636,0.09311434008699634,0.08276993189102565,-0.016948903960622708,-0.2519896119505495,-0.09011203640109891,1.0,-0.1603558550824176,-0.10958533653846153,0.00730669070512821,-0.3052866729624542,0.3855565333104396,0.039432019803113554,-0.12845445570054945,-0.28774503491300363,0.06233795501373626,0.11000422103937729,0.0905037345467033,-0.24714579040750917,-0.2507755265567766,0.19052340888278388,0.1483799078525641,0.33655312786172165,-0.04129678914835165,0.0654368418040293,0.12265124198717949,0.012844837454212457,-0.21002711481227107,0.04313651842948718
e10,-0.020332295679206035,-0.21008938544218442,0.09021120849292213,-0.07818724244505496,-0.0796299078525641,-0.017895776098901098,0.27701465201465203,0.1165965544871795,0.042055145375457875,0.002527257898351648,0.02741851247710623,0.0195147951007326,-0.1603558550824176,1.0,0.07625701121794871,-0.07908331902472528,0.002715058379120873,-0.04780720581501831,-0.08664219894688645,0.03572644803113553,0.10502482543498169,0.09271620306776557,0.01734525240384615,-0.07901070283882784,0.13791387648809522,-0.0995682377518315,0.06480010874542125,0.029833447802197804,-0.07328260931776556,-0.10983430631868132,0.1411873282967033,-0.07946714743589743,0.05188658997252747,0.07496458619505494,-0.03878312442765568
e11,0.05104659409390976,0.02887509203886545,0.05080599850157131,-0.06910699977106227,-0.005850074404761904,-0.049557506295787535,0.005821099473443224,-0.1642291952838828,-0.15119333791208792,-0.08669871794871795,-0.01408754006410256,-0.10782466231684983,-0.10958533653846153,0.07625701121794871,1.0,-0.3403906965430403,0.08282609317765567,-0.09302348042582419,0.12896563072344322,-0.07350868532509158,0.18656815190018317,0.007515596382783884,0.01396484375,0.020805789262820513,0.297481684981685,-0.20906664949633702,0.019872510302197808,-0.21015589228479853,-0.05364154075091575,-0.20090895432692307,-0.04077130551739927,0.0760413089514652,0.06398237179487179,0.013033353365384616,0.276932377518315
e12,-0.11999053522843658,0.04971501846829707,-0.07645269200346286,0.036866128663003664,-0.17517635359432238,0.11700685382326007,0.06605926625457875,0.18344494047619048,0.13846404246794872,0.08325857085622711,0.1273856026785714,0.11716210222069597,0.00730669070512821,-0.07908331902472528,-0.3403906965430403,1.0,0.17308050022893773,-0.10391912774725275,0.029273981227106234,0.08965165693681318,-0.0010277157738095245,0.02395225217490843,-0.09309502346611721,0.04086323832417582,-0.19137799049908424,0.14382655105311354,-0.016247782165750915,0.09414921016483516,-0.08564417353479853,-0.020193738553113554,0.06646062271062271,-0.167691163003663,0.12401377918956044,0.10609403617216118,-0.24997996794871796
e13,-0.13622003069629787,-0.021038807406757398,-0.12807113803173797,-0.17122968177655679,-0.3770339686355312,0.1859550280448718,-0.10627539777930403,0.18102392399267397,0.012716417696886452,0.159225832760989,0.2860641311813187,0.3810525412087912,-0.3052866729624542,0.002715058379120873,0.08282609317765567,0.17308050022893773,1.0,-0.5295608688186813,0.019651442307692307,0.10652186355311355,0.06726655505952381,-0.11858974358974358,-0.264797604739011,-0.24522056719322344,0.2453804658882784,0.29796889308608054,-0.024040965544871794,-0.06992867158882785,-0.36582746680402933,-0.0987386961996337,-0.006467133127289377,-0.2516730339972527,0.022516025641025637,0.12187821943681318,0.08971354166666666
e14,0.03618088811519921,0.17365038095139418,0.023984310775035576,0.07277429601648353,0.41971905048076924,-0.31777808779761907,-0.05937464228479854,-0.2232235863095238,-0.07830063816391941,-0.026644774496336995,-0.3174400469322344,-0.4380072401556777,0.3855565333104396,-0.04780720581501831,-0.09302348042582419,-0.10391912774725275,-0.5295608688186813,1.0,-0.03112551510989011,-0.11837797619047619,-0.2867255465888279,0.018973572000915755,0.34773280105311355,0.30375279017857143,-0.18107293097527472,-0.22705757783882785,0.18331473214285715,0.10933887076465201,0.29627797332875455,0.20395633012820513,0.029735791552197802,0.22889229910714287,-0.09373211423992674,-0.12203275240384615,0.02931941105769231
e15,-0.11275421589312011,-0.11577812996642625,0.11341492381142435,0.14422862293956046,-0.08859138907967032,0.09921123798076922,-0.0004610948946886517,-0.14072802197802198,-0.18331652071886448,-0.05104417067307692,-0.03349466288919413,0.164797604739011,0.039432019803113554,-0.08664219894688645,0.12896563072344322,0.029273981227106234,0.019651442307692307,-0.03112551510989011,1.0,0.037576908768315015,0.09503276671245421,-0.10194203582875458,0.06369190705128205,0.010185940361721608,-0.09784834306318682,0.059359618246336995,-0.18673234317765566,-0.18802476820054947,0.16563930860805862,-0.030411873282967034,0.19372495993589745,-0.12406207074175825,-0.04095839056776557,0.06860262133699634,-0.10660628434065936
e16,0.02748906452363159,-0.0025938827468796714,0.09625808710778619,-0.02398194253663003,-0.05319904704670329,0.11073431776556776,-0.03862107944139194,0.11030935210622711,0.12515274439102564,-0.10325413518772894,-0.025081201350732604,-0.03688687614468864,-0.12845445570054945,0.03572644803113553,-0.07350868532509158,0.08965165693681318,0.10652186355311355,-0.11837797619047619,0.037576908768315015,1.0,-0.03348285828754579,-0.053054172390109886,-0.06743968921703297,-0.12107336023351647,0.019981613438644685,0.1688351362179487,-0.1582113524496337,-0.14661923363095236,-0.03958512190934066,0.005523480425824175,-0.02806454613095238,0.11896355597527473,-0.10042818509615385,-0.08415357429029305,-0.0510659913003663
