feature,bladder,breast,colon,kidney,leukemia,liver,lung,ovarian,pancreatic
essentiality,0.032069198569787634,0.00919048310332569,0.3881557368590953,0.2762108342683212,0.09448526465053578,0.21724107523772265,0.43991709426539455,0.006740662489014104,0.017319612271814028
mutation,0.003804937893124963,0.00020656538659758565,4.810725415743932e-09,0.02523249357729074,2.5815589159182947e-12,0.006293773549822937,3.728453986293581e-05,0.36938242075894906,2.983884042451177e-06
expression,0.0007319179768741556,0.00035080224331000197,0.00041674563227254497,0.023138985488460634,1.417686637955598e-13,0.15659264989643507,1.0426045155335108e-05,0.0012325148902492982,0.0037833885310735805
e0,0.040386814067940806,0.19574164797585766,0.3959170122126052,0.4148285119916734,0.10901375842294442,0.4194892890934099,0.2080567825104882,0.2801871766583548,0.19574164797585766
e1,0.2495678617443756,0.21887009946520591,0.23731026978087713,0.00020121985871533,0.00040959696568829064,0.0008426502865844009,0.24345069538302166,0.38538632098722536,0.09336351705656315
e2,0.0018526654193820843,1.133870543449809e-06,0.00022562639125124368,1.2419620459511788e-05,1.9584538011446345e-08,5.796115922264639e-06,7.9999675933053e-06,5.040571472721183e-06,1.133870543449809e-06
e3,0.11284441092712748,0.463619116935332,0.12633796681196247,0.05025795051699399,0.003115737079292399,0.10835496749551901,0.17950323849412647,0.19574164797585766,0.08708870899703218
e4,0.49373328756910245,0.041082203255980644,0.19037627043686478,0.31371015233647465,0.20779445777137923,0.1066638323665682,0.4886757491831181,0.3011382713835431,0.30395175093021415
e5,0.210732751528372,0.013876166586765841,0.17292700277445733,0.32180643042353424,0.002477376707598549,0.10901375842294442,0.4025763430975658,0.21887009946520591,0.19930119380669742
e6,0.051152153230294976,2.4696768039257974e-05,0.0014480618283531802,0.017164420365899852,2.678324576353091e-07,1.0946539455529966e-05,0.024790252668513688,0.0009295797133898677,0.00024120934393317086
e7,0.01529955401830125,0.1768616413924028,0.00324826025983887,0.028836359820642865,0.00660436873119004,5.9087298279183476e-05,0.12019515231497421,0.07441404855231788,0.0012452408164481785
e8,0.11787712584687411,0.03075145584136376,0.00919048310332569,1.55995470260209e-05,0.013689373810775592,0.01456676350224243,0.05109361260594542,0.1344578123592298,1.0426045155335108e-05
e9,0.07937153648884093,0.22691098848623142,0.0008545688108110701,5.832832095263818e-06,0.02879926429186948,0.0021160968043652238,0.03463186063652284,0.017970802398526196,0.023149046307203228
e10,0.002121382035680149,0.00774555140593438,0.11787712584687411,0.4025763430975658,0.4405149356404947,0.06678989427633295,0.028615437098628453,0.009888013768217263,0.00364683219623593
e11,0.07910064366070925,0.31291736892287325,0.1066638323665682,0.06526892301329289,0.44249120381791285,0.22691098848623142,0.37623567520371265,0.09242803672544393,0.4194892890934099
e12,0.10646540463639381,0.05257898338266353,0.15564583365207307,0.18768070772792336,0.03229782313696815,0.24128221195893187,0.45845681816862965,0.05580739023178436,0.012213851162794165
e13,0.0034719065916184117,0.0027275979464530514,2.983884042451177e-06,0.0005220241068995648,3.408346005550376e-05,2.3075621456532483e-06,0.008038820081198777,0.0008545688108110701,0.06761922897123554
e14,0.0027275979464530514,0.005789825864631367,2.983884042451177e-06,1.0426045155335108e-05,1.3293857933447046e-05,3.094463738791762e-11,0.03155002498004372,0.00011722278319188123,5.323477711966173e-05
e15,0.49373328756910245,0.210732751528372,0.4797791914805188,0.210732751528372,0.40043064643433846,0.26299565339739056,0.2320008731847664,0.1572442834956217,0.18489165738315372
e16,0.4797791914805188,0.38573303519552926,0.028431010514686474,0.1889704858860101,0.07428188422847061,0.19574164797585766,0.47871825847881017,0.3357520658438967,0.36050214574810424
e17,0.18768070772792336,0.12169200462389508,0.31281325289803225,0.1344578123592298,0.03224363992653529,0.1882200681314955,0.25337761220350463,0.06055117272014769,0.05511140922389361
e18,0.210732751528372,0.3708657977321662,0.03766575602425805,0.05580739023178436,1.0426045155335108e-05,0.28314119576100766,0.07937153648884093,0.34963381917654024,0.44035865193699003
e19,0.0015748002342718874,0.12061496814460239,0.02782472047721283,0.14226421794085792,0.4272937478183466,0.017101179558427704,0.18946218478794033,0.047672547476764915,0.06355978233138437
e20,0.2734784222600967,0.21716345536725887,0.22497980877471468,0.01932850231277828,0.005361718485784302,0.00462453209074717,0.22191543892257667,0.3901462198818404,0.49373328756910245
e21,0.32271958782324417,0.03302566103897433,0.00038253185184431186,0.0021160968043652238,0.0015748002342718874,5.9087298279183476e-05,0.0014718030386026459,0.3689799095348961,0.19109603521897803
e22,0.0007269713368792004,3.728453986293581e-05,0.340439344951806,3.193058746246899e-05,1.963767435158623e-08,0.002845652485896556,0.41815074211820413,0.013876166586765841,0.0734960024012277
e23,0.000897687841900211,0.025690820772874177,0.4797791914805188,0.20779445777137923,0.12859943956883912,0.05940429603103438,0.13439219242749295,0.00020383499069184276,0.0015748002342718874
e24,0.11427038048698257,0.40390850392443345,0.040386814067940806,0.49373328756910245,0.08509716318802046,0.27935424988526913,0.30973100646240664,0.11427038048698257,0.4743226255756059
e25,0.001079951703281248,1.3293857933447046e-05,0.22563226496701702,0.14018209012540989,0.05257898338266353,0.45286066423300964,0.002236572931091933,0.0011008563877880264,0.09268369818342247
e26,0.4904391578262409,0.24827037561149445,0.4178492093006833,0.47278959520576563,0.024625120202804173,0.3011382713835431,0.45963189776969526,0.126390481777539,0.4025763430975658
