feature,z_score
e0,-0.2523359435442868
e1,-0.2866677228636382
e10,0.09801937188808771
e11,-0.2639863372778611
e12,-0.2386615353543169
e13,1.6372776666985622
e14,2.813472292564664
e15,-0.38023406080563005
e16,-0.39711657494117547
e17,-0.3293541670017642
e18,-0.3962850006717468
e19,0.06773669634945206
e2,2.912616674599614
e20,-0.3800602383129956
e21,0.09453334725316728
e22,1.1059699155191063
e23,0.4031554546344022
e24,-0.37092027697647534
e25,0.7530508853171566
e26,-0.3975328032676519
e27,-0.17189669399494073
e28,0.16557495715345133
e29,-0.3329124744335036
e3,-0.29141780230785647
e30,-0.32882897448416415
e31,-0.2931867608782031
e4,-0.023853255791308547
e5,0.06081983911511888
e6,1.1017169573517862
e7,-0.13474084468251618
e8,-0.1551251838125152
e9,-0.14623891143220022
essentiality,-0.09873226046503382
expression,1.086893309916115
mutation,0.7425711754934652
