feature,z_score
e0,-0.32138659807449843
e1,-0.22608861430227561
e10,-0.3529044609563806
e11,-0.32689359301623033
e12,-0.36141329135278993
e13,3.5767956588974528
e14,5.866811506880702
e15,-0.3365690495657149
e16,-0.3360471409996875
e17,-0.36634408419594705
e18,-0.337275181655048
e19,-0.335453405687125
e2,2.721722234632274
e20,-0.27111321522781934
e21,0.9139344828149477
e22,0.5394819966882726
e23,-0.25957340755789465
e24,-0.32798014369615974
e25,-0.31038178621724855
e26,-0.3453328538172788
e27,-0.3463713087442023
e28,0.6253647745873164
e29,-0.3434204108308007
e3,-0.30975613514872646
e30,-0.29735924049381074
e31,-0.3327439018722906
e4,0.20718882605384842
e5,-0.15348127421192156
e6,0.7815895922753109
e7,-0.0548277841725429
e8,-0.26594837327936016
e9,0.24735194893993948
essentiality,-0.35133908145060355
expression,-0.347705039025986
mutation,-0.2654845094852724
