feature,z_score
e0,-0.2089386710816184
e1,-0.2588556742617055
e10,-0.108581302432699
e11,-0.3507884205930795
e12,-0.32428649670097703
e13,1.9957157756017527
e14,3.081911107298031
e15,-0.41003971059275335
e16,-0.409942923708563
e17,-0.3368945113131242
e18,-0.42679311630679767
e19,-0.3676865888477985
e2,3.6571384314230935
e20,-0.4071117986644829
e21,0.30907889932533905
e22,1.3346053506176911
e23,0.19697688813396103
e24,-0.38660626700427014
e25,1.083116532863211
e26,-0.4324959197206101
e27,-0.31198209001962457
e28,0.16031853222502984
e29,-0.338238349758014
e3,-0.40730637634340433
e30,-0.3509502731184601
e31,-0.40582991598826934
e4,0.13767874261960006
e5,0.20358908717799581
e6,1.8069043195693364
e7,-0.23197288799375695
e8,-0.1687710284505982
e9,-0.13068682397713882
essentiality,-0.00935300871348287
expression,0.22171826007316234
mutation,0.8751460783992293
