feature,z_score
e0,-0.2820888022717537
e1,-0.3213558422414001
e10,0.32114356284473783
e11,-0.13685891507206166
e12,-0.18291535447650725
e13,1.9384592882634277
e14,2.5895462263705635
e15,-0.3907526243203012
e16,-0.3570499188740123
e17,-0.3242890672685804
e18,-0.40492997664874053
e19,-0.038504482122105166
e2,2.1919887315770743
e20,-0.36088205162464904
e21,0.08281059319524878
e22,0.5386623336747776
e23,0.7343985310326915
e24,-0.3392879155790465
e25,0.6510063131324599
e26,-0.3724952805079167
e27,-0.25804736775234105
e28,0.23490020759401178
e29,-0.3473186795297095
e3,-0.33225264696952
e30,-0.144106463224362
e31,-0.2941557768663302
e4,-0.1726986326354743
e5,0.026047412117564867
e6,0.6088722326987013
e7,-0.16138273641242834
e8,-0.22404460556475908
e9,-0.17171795966987327
essentiality,-0.15638781730947765
expression,1.0633349222739832
mutation,2.363313184734067
