feature,z_score
e0,-0.34949767944868637
e1,-0.055809888574480715
e10,0.1473902963277136
e11,-0.25444016344007697
e12,-0.25973978931292624
e13,1.8108370637857867
e14,2.330250231236143
e15,-0.48181519347118906
e16,-0.3268827700952816
e17,-0.28406194938095475
e18,-0.24120305807747053
e19,-0.1195113931977072
e2,2.3265321823929574
e20,-0.19277249508317942
e21,0.029921759008646454
e22,0.8281255781841086
e23,0.48330087573171693
e24,-0.33004031522748145
e25,0.46316330889068275
e26,-0.3459803343574091
e27,-0.3635453198416282
e28,0.07064651434929403
e29,-0.4272402603595988
e3,-0.2935635557952626
e30,-0.12059029084308703
e31,-0.1782811242806963
e4,-0.24235847742708566
e5,0.1152544576915068
e6,1.0451682304784418
e7,-0.03405772820521773
e8,-0.2379873157843723
e9,-0.1901619217692547
essentiality,-0.26824786661153455
expression,2.1687256354802087
mutation,2.0873330681782196
