feature,z_score
e0,-0.3953987097840067
e1,-0.44815014101424355
e10,0.17070887158234233
e11,-0.40230465504357316
e12,-0.3992898180254594
e13,0.7482593175019397
e14,0.419966195473861
e15,-0.3009213624576602
e16,-0.42683673730676386
e17,-0.37213462529576063
e18,-0.11775290568450367
e19,-0.26193279942612585
e2,4.0104115960758175
e20,-0.2614732213302863
e21,0.3021177765130633
e22,-0.40655952508011745
e23,-0.4405320448451645
e24,-0.41863641605343976
e25,0.9352636457896428
e26,-0.3300239673316689
e27,0.10693108513673959
e28,-0.34327119544405754
e29,-0.043738397871723234
e3,-0.3722916806322427
e30,-0.47538396884766493
e31,-0.32197693380045345
e4,-0.2748243940608506
e5,-0.3505890194335183
e6,-0.2865453858562097
e7,-0.48837374343720785
e8,-0.263332733271581
e9,-0.12681342873686094
essentiality,-0.46808704538642426
expression,3.8372172456144624
mutation,4.267978798721492
