feature,z_score
e0,-0.3464415170125306
e1,-0.07881307591050528
e10,0.30886123196207044
e11,-0.27421754515552293
e12,-0.20911924698612125
e13,1.5533739599689111
e14,2.139620262536188
e15,-0.467475875300343
e16,-0.32722554539941273
e17,-0.29890822753032253
e18,-0.25993080529852153
e19,-0.1538868478518519
e2,2.380528893649771
e20,-0.21134805903048956
e21,-0.0158616849273889
e22,0.6565795544722027
e23,0.4704346841724698
e24,-0.34131190287302954
e25,0.3756371687578929
e26,-0.3519176696855721
e27,-0.36469945473999765
e28,0.4077019158784254
e29,-0.41604487721818517
e3,-0.28969462995354717
e30,-0.15915077276016948
e31,-0.16884304397173977
e4,-0.2527849672187451
e5,0.05475894888978714
e6,1.0443113322421214
e7,0.07626755060609113
e8,-0.014490513956304834
e9,-0.13439665830110142
essentiality,-0.26828562177091014
expression,1.8692264580792373
mutation,2.2361635197356557
